variant	genotype_mother	genotype_child	phenotype	n_no	n_yes	share_yes
rs372120002 (GDF15)	any	any	long_term_nausea_vomiting_after_13w	23299	2575	0.0995207544252918
rs76856932 (TCF7L2)	any	any	long_term_nausea_vomiting_after_13w	23299	2575	0.0995207544252918
rs372120002 (GDF15)	0	0	long_term_nausea_vomiting_after_13w	23256	2569	0.0994772507260407
rs76856932 (TCF7L2)	0	0	long_term_nausea_vomiting_after_13w	22723	2499	0.099080168107208
rs372120002 (GDF15)	0	1	long_term_nausea_vomiting_after_13w	17	0	0
rs76856932 (TCF7L2)	0	1	long_term_nausea_vomiting_after_13w	215	24	0.100418410041841
rs372120002 (GDF15)	1	0	long_term_nausea_vomiting_after_13w	12	5	0.294117647058824
rs76856932 (TCF7L2)	1	0	long_term_nausea_vomiting_after_13w	175	29	0.142156862745098
rs372120002 (GDF15)	1	1	long_term_nausea_vomiting_after_13w	14	1	0.0666666666666667
rs76856932 (TCF7L2)	1	1	long_term_nausea_vomiting_after_13w	182	23	0.11219512195122
rs372120002 (GDF15)	any	any	long_term_nausea_vomiting_after_20w	25024	850	0.0328515111695138
rs76856932 (TCF7L2)	any	any	long_term_nausea_vomiting_after_20w	25024	850	0.0328515111695138
rs372120002 (GDF15)	0	0	long_term_nausea_vomiting_after_20w	24976	849	0.0328751210067764
rs76856932 (TCF7L2)	0	0	long_term_nausea_vomiting_after_20w	24402	820	0.0325112996590278
rs372120002 (GDF15)	0	1	long_term_nausea_vomiting_after_20w	17	0	0
rs76856932 (TCF7L2)	0	1	long_term_nausea_vomiting_after_20w	231	8	0.0334728033472803
rs372120002 (GDF15)	1	0	long_term_nausea_vomiting_after_20w	16	1	0.0588235294117647
rs76856932 (TCF7L2)	1	0	long_term_nausea_vomiting_after_20w	191	13	0.0637254901960784
rs372120002 (GDF15)	1	1	long_term_nausea_vomiting_after_20w	15	0	0
rs76856932 (TCF7L2)	1	1	long_term_nausea_vomiting_after_20w	196	9	0.0439024390243902
rs372120002 (GDF15)	any	any	long_term_nausea_vomiting_after_29w	25514	360	0.0139135812012058
rs76856932 (TCF7L2)	any	any	long_term_nausea_vomiting_after_29w	25514	360	0.0139135812012058
rs372120002 (GDF15)	0	0	long_term_nausea_vomiting_after_29w	25466	359	0.0139012584704743
rs76856932 (TCF7L2)	0	0	long_term_nausea_vomiting_after_29w	24872	350	0.013876774244707
rs372120002 (GDF15)	0	1	long_term_nausea_vomiting_after_29w	17	0	0
rs76856932 (TCF7L2)	0	1	long_term_nausea_vomiting_after_29w	236	3	0.0125523012552301
rs372120002 (GDF15)	1	0	long_term_nausea_vomiting_after_29w	16	1	0.0588235294117647
rs76856932 (TCF7L2)	1	0	long_term_nausea_vomiting_after_29w	200	4	0.0196078431372549
rs372120002 (GDF15)	1	1	long_term_nausea_vomiting_after_29w	15	0	0
rs76856932 (TCF7L2)	1	1	long_term_nausea_vomiting_after_29w	202	3	0.0146341463414634
rs372120002 (GDF15)	any	any	hospitalized_prolonged_nausea_vomiting	25630	244	0.00943031614748396
rs76856932 (TCF7L2)	any	any	hospitalized_prolonged_nausea_vomiting	25630	244	0.00943031614748396
rs372120002 (GDF15)	0	0	hospitalized_prolonged_nausea_vomiting	25582	243	0.00940948693126815
rs76856932 (TCF7L2)	0	0	hospitalized_prolonged_nausea_vomiting	24990	232	0.00919831892792007
rs372120002 (GDF15)	0	1	hospitalized_prolonged_nausea_vomiting	17	0	0
rs76856932 (TCF7L2)	0	1	hospitalized_prolonged_nausea_vomiting	235	4	0.0167364016736402
rs372120002 (GDF15)	1	0	hospitalized_prolonged_nausea_vomiting	17	0	0
rs76856932 (TCF7L2)	1	0	hospitalized_prolonged_nausea_vomiting	199	5	0.0245098039215686
rs372120002 (GDF15)	1	1	hospitalized_prolonged_nausea_vomiting	14	1	0.0666666666666667
rs76856932 (TCF7L2)	1	1	hospitalized_prolonged_nausea_vomiting	202	3	0.0146341463414634
